"job_id","model","N","N_size","mni_location","mni_size","rho","loading_quality","target_loading","TT","J","mu_alpha","mu_beta","var_alpha","var_beta","cov_ab","tau_un","lambda_un","sd.lambda","nrep","seed"
84,"latent","large",800,"none","none",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
85,"latent","small",200,"none","none",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
86,"latent","medium",500,"none","none",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
87,"latent","large",800,"none","none",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
88,"latent","small",200,"none","none",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
89,"latent","medium",500,"none","none",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
90,"latent","large",800,"none","none",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
91,"latent","small",200,"residual","strong",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
92,"latent","medium",500,"residual","strong",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
93,"latent","large",800,"residual","strong",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
94,"latent","small",200,"residual","strong",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
95,"latent","medium",500,"residual","strong",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
96,"latent","large",800,"residual","strong",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
97,"latent","small",200,"residual","strong",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
98,"latent","medium",500,"residual","strong",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
99,"latent","large",800,"residual","strong",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
