job_id,model,N,N_size,mni_location,mni_size,rho,loading_quality,target_loading,TT,J,mu_alpha,mu_beta,var_alpha,var_beta,cov_ab,tau_un,lambda_un,sd.lambda,nrep,seed
17,latent,medium,500,intercept,weak,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
18,latent,large,800,intercept,weak,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
19,latent,small,200,intercept,weak,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
20,latent,medium,500,intercept,weak,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
21,latent,large,800,intercept,weak,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
22,latent,small,200,intercept,weak,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
23,latent,medium,500,intercept,weak,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
24,latent,large,800,intercept,weak,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
25,latent,small,200,loading,strong,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
26,latent,medium,500,loading,strong,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
27,latent,large,800,loading,strong,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
28,latent,small,200,loading,strong,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
29,latent,medium,500,loading,strong,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
30,latent,large,800,loading,strong,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
31,latent,small,200,loading,strong,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
32,latent,medium,500,loading,strong,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
33,latent,large,800,loading,strong,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
34,latent,small,200,loading,strong,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
35,latent,medium,500,loading,strong,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
36,latent,large,800,loading,strong,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
37,latent,small,200,loading,weak,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
38,latent,medium,500,loading,weak,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
39,latent,large,800,loading,weak,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
40,latent,small,200,loading,weak,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
41,latent,medium,500,loading,weak,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
42,latent,large,800,loading,weak,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
43,latent,small,200,loading,weak,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
44,latent,medium,500,loading,weak,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
45,latent,large,800,loading,weak,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
46,latent,small,200,loading,weak,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
47,latent,medium,500,loading,weak,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
48,latent,large,800,loading,weak,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
49,latent,small,200,none,none,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
50,latent,medium,500,none,none,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
51,latent,large,800,none,none,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
52,latent,small,200,none,none,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
53,latent,medium,500,none,none,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
54,latent,large,800,none,none,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
55,latent,small,200,none,none,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
56,latent,medium,500,none,none,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
57,latent,large,800,none,none,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
58,latent,small,200,none,none,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
59,latent,medium,500,none,none,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
60,latent,large,800,none,none,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
61,sum,small,200,intercept,strong,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
62,sum,medium,500,intercept,strong,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
63,sum,large,800,intercept,strong,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
64,sum,small,200,intercept,strong,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
65,sum,medium,500,intercept,strong,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
66,sum,large,800,intercept,strong,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
67,sum,small,200,intercept,strong,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
68,sum,medium,500,intercept,strong,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
69,sum,large,800,intercept,strong,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
70,sum,small,200,intercept,strong,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
71,sum,medium,500,intercept,strong,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
72,sum,large,800,intercept,strong,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
73,sum,small,200,intercept,weak,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
74,sum,medium,500,intercept,weak,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
75,sum,large,800,intercept,weak,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
76,sum,small,200,intercept,weak,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
77,sum,medium,500,intercept,weak,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
78,sum,large,800,intercept,weak,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
79,sum,small,200,intercept,weak,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
80,sum,medium,500,intercept,weak,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
81,sum,large,800,intercept,weak,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
82,sum,small,200,intercept,weak,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
83,sum,medium,500,intercept,weak,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
84,sum,large,800,intercept,weak,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
85,sum,small,200,loading,strong,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
86,sum,medium,500,loading,strong,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
87,sum,large,800,loading,strong,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
88,sum,small,200,loading,strong,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
89,sum,medium,500,loading,strong,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
90,sum,large,800,loading,strong,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
91,sum,small,200,loading,strong,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
92,sum,medium,500,loading,strong,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
93,sum,large,800,loading,strong,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
94,sum,small,200,loading,strong,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
95,sum,medium,500,loading,strong,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
96,sum,large,800,loading,strong,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
97,sum,small,200,loading,weak,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
98,sum,medium,500,loading,weak,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
99,sum,large,800,loading,weak,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
100,sum,small,200,loading,weak,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
101,sum,medium,500,loading,weak,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
102,sum,large,800,loading,weak,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
103,sum,small,200,loading,weak,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
104,sum,medium,500,loading,weak,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
105,sum,large,800,loading,weak,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
106,sum,small,200,loading,weak,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
107,sum,medium,500,loading,weak,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
108,sum,large,800,loading,weak,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
109,sum,small,200,none,none,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
110,sum,medium,500,none,none,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
111,sum,large,800,none,none,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
112,sum,small,200,none,none,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
113,sum,medium,500,none,none,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
114,sum,large,800,none,none,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
115,sum,small,200,none,none,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
116,sum,medium,500,none,none,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
117,sum,large,800,none,none,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
118,sum,small,200,none,none,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
119,sum,medium,500,none,none,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
120,sum,large,800,none,none,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
121,sum_scaled,small,200,intercept,strong,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
122,sum_scaled,medium,500,intercept,strong,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
123,sum_scaled,large,800,intercept,strong,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
124,sum_scaled,small,200,intercept,strong,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
125,sum_scaled,medium,500,intercept,strong,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
126,sum_scaled,large,800,intercept,strong,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
127,sum_scaled,small,200,intercept,strong,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
128,sum_scaled,medium,500,intercept,strong,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
129,sum_scaled,large,800,intercept,strong,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
130,sum_scaled,small,200,intercept,strong,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
131,sum_scaled,medium,500,intercept,strong,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
132,sum_scaled,large,800,intercept,strong,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
133,sum_scaled,small,200,intercept,weak,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
134,sum_scaled,medium,500,intercept,weak,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
135,sum_scaled,large,800,intercept,weak,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
136,sum_scaled,small,200,intercept,weak,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
137,sum_scaled,medium,500,intercept,weak,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
138,sum_scaled,large,800,intercept,weak,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
139,sum_scaled,small,200,intercept,weak,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
140,sum_scaled,medium,500,intercept,weak,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
141,sum_scaled,large,800,intercept,weak,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
142,sum_scaled,small,200,intercept,weak,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
143,sum_scaled,medium,500,intercept,weak,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
144,sum_scaled,large,800,intercept,weak,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
145,sum_scaled,small,200,loading,strong,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
146,sum_scaled,medium,500,loading,strong,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
147,sum_scaled,large,800,loading,strong,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
148,sum_scaled,small,200,loading,strong,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
149,sum_scaled,medium,500,loading,strong,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
150,sum_scaled,large,800,loading,strong,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
151,sum_scaled,small,200,loading,strong,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
152,sum_scaled,medium,500,loading,strong,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
153,sum_scaled,large,800,loading,strong,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
154,sum_scaled,small,200,loading,strong,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
155,sum_scaled,medium,500,loading,strong,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
156,sum_scaled,large,800,loading,strong,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
157,sum_scaled,small,200,loading,weak,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
158,sum_scaled,medium,500,loading,weak,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
159,sum_scaled,large,800,loading,weak,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
160,sum_scaled,small,200,loading,weak,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
161,sum_scaled,medium,500,loading,weak,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
162,sum_scaled,large,800,loading,weak,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
163,sum_scaled,small,200,loading,weak,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
164,sum_scaled,medium,500,loading,weak,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
165,sum_scaled,large,800,loading,weak,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
166,sum_scaled,small,200,loading,weak,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
167,sum_scaled,medium,500,loading,weak,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
168,sum_scaled,large,800,loading,weak,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
169,sum_scaled,small,200,none,none,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
170,sum_scaled,medium,500,none,none,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
171,sum_scaled,large,800,none,none,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
172,sum_scaled,small,200,none,none,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
173,sum_scaled,medium,500,none,none,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
174,sum_scaled,large,800,none,none,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
175,sum_scaled,small,200,none,none,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
176,sum_scaled,medium,500,none,none,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
177,sum_scaled,large,800,none,none,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
178,sum_scaled,small,200,none,none,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
179,sum_scaled,medium,500,none,none,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
180,sum_scaled,large,800,none,none,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
