"model","rho","TT","J","loading_type","loading_quality","cu_modeled","spec_status","phi1.plim","phi2.plim","phi12.plim","cor12.plim","k1.plim","k2.plim","phi1.tgt","phi2.tgt","phi12.tgt","cor12.tgt","k1.tgt","k2.tgt","phi1.arbias","phi2.arbias","phi12.arbias","cor12.arbias","k2.arbias","rmsea.pop","cfi.pop","srmr.pop","df.pop"
"EC_latent",0,5,5,"tau_eq","poor",FALSE,"correct (no CU)",1.00000001115899,0.202499999450224,0.179999999961768,0.39999999822623,1.50000000392831,0.124999999076232,1,0.2025,0.18,0.4,1.5,0.125,1.11589908424747e-08,-2.71494349635549e-09,-2.12402626351446e-10,-4.43442615960521e-09,-7.39014560657836e-09,0,1,9.43606875789161e-10,327
"sum",0,5,5,"tau_eq","poor",FALSE,"correct (no CU)",0.999999962057162,0.202499984178609,0.180000051896078,0.400000138539257,1.50000005237857,0.12499999351542,1,0.2025,0.18,0.4,1.5,0.125,-3.79428375385515e-08,-7.81303240211857e-08,2.8831154238709e-07,3.46348143498432e-07,-5.18766403168058e-08,0,1,1.93799627597601e-08,10
"EC_latent",0.15,5,5,"tau_eq","poor",TRUE,"correct (CU modeled)",0.999999989641258,0.202499995298014,0.180000007695247,0.400000023816234,1.49999999995712,0.124999997662357,1,0.2025,0.18,0.4,1.5,0.125,-1.03587418642803e-08,-2.32196831035568e-08,4.27513714244358e-08,5.9540584823603e-08,-1.87011434116258e-08,0,1,9.37224238908043e-09,307
"sum",0.15,5,5,"tau_eq","poor",TRUE,"correct (CU modeled)",1.00000005436759,0.202500018842938,0.17999996639176,0.399999895831201,1.49999999845994,0.125000000106553,1,0.2025,0.18,0.4,1.5,0.125,5.43675937603183e-08,9.30515467148199e-08,-1.86712447046587e-07,-2.60421997855254e-07,8.52425907638121e-10,0,1,5.54139093726173e-09,6
"EC_latent",0,3,3,"congeneric","poor",FALSE,"correct (no CU)",0.360000003736038,0.0729000179095538,0.0647999917882647,0.399999898100137,0.899999989642983,0.0750000051557955,0.36,0.0729,0.0648,0.4,0.9,0.075,1.03778820413779e-08,2.45672891609371e-07,-1.26724310272066e-07,-2.54749657618847e-07,6.87439401699426e-08,0,1,3.00498341908164e-09,39
"sum",0,3,3,"congeneric","poor",FALSE,"correct (no CU)",0.360000002564548,0.0729000016815465,0.0648000002109106,0.399999995263872,0.900000004691621,0.0749999985440988,0.36,0.0729,0.0648,0.4,0.9,0.075,7.12374511232146e-09,2.30664812810438e-08,3.2547935540166e-09,-1.18403192805872e-08,-1.94120158836242e-08,0,1,3.94622580025671e-09,1
"EC_latent",0.15,3,3,"congeneric","poor",FALSE,"MISSPEC (CU omitted)",0.77644344600642,0.281122076189905,-0.143421930563282,-0.306982185842785,0.900000686867291,0.0749995555965249,0.36,0.0729,0.0648,0.4,0.9,0.075,1.15678735001783,2.85626990658305,-3.21330139758151,-1.76745546460696,-5.925379668222e-06,0.0484894588078661,0.856158656489129,0.033200135490503,39
"sum",0.15,3,3,"congeneric","poor",FALSE,"MISSPEC (CU omitted)",0.793796045413098,0.2897980803975,-0.152098061069866,-0.317118413470465,0.899999955688653,0.0750000242678566,0.36,0.0729,0.0648,0.4,0.9,0.075,1.20498901503638,2.97528230997943,-3.3471923004609,-1.79279603367616,3.23571421323443e-07,0,1,2.93820720746412e-08,1
"EC_latent",0,5,3,"congeneric","poor",FALSE,"correct (no CU)",0.360000003592574,0.0729000012114788,0.0647999983309303,0.399999984377553,0.90000000004043,0.0749999994675683,0.36,0.0729000000000001,0.0648,0.4,0.9,0.075,9.97937134162975e-09,1.66183640160961e-08,-2.57572489143275e-08,-3.90561161189851e-08,-7.09908946442776e-09,0,1,1.9122525276007e-09,118
"sum",0,5,3,"congeneric","poor",FALSE,"correct (no CU)",0.359999969671221,0.0729000013981946,0.0648000079674412,0.400000062195135,0.899999996494002,0.0750000021830356,0.36,0.0729000000000001,0.0648,0.4,0.9,0.075,-8.42466083006421e-08,1.91796237861366e-08,1.22954339610971e-07,1.5548783816044e-07,2.91071415118675e-08,0,1,7.50977522451348e-09,10
"EC_latent",0.15,5,3,"congeneric","poor",TRUE,"correct (CU modeled)",0.360000002936482,0.072899999962439,0.0647999996667242,0.399999996414411,0.900000000646929,0.0749999999024558,0.36,0.0729000000000001,0.0648,0.4,0.9,0.075,8.156895220996e-09,-5.15240570830489e-10,-5.14314521184287e-09,-8.9639724809576e-09,-1.30059019110007e-09,0,1,5.36706066352197e-10,106
"sum",0.15,5,3,"congeneric","poor",TRUE,"correct (CU modeled)",0.360000033553847,0.0729000082009793,0.0647999931074209,0.399999916312941,0.899999982943383,0.0750000046562335,0.36,0.0729000000000001,0.0648,0.4,0.9,0.075,9.32051294169314e-08,1.12496285340046e-07,-1.06366961706281e-07,-2.09217647650917e-07,6.20831134649317e-08,0,1,8.31521501631583e-09,6
"EC_latent",0,3,5,"congeneric","poor",FALSE,"correct (no CU)",0.999999779410063,0.202500085769272,0.180000080219326,0.400000137672771,1.49999995425739,0.12500001713248,1,0.2025,0.18,0.4,1.5,0.125,-2.20589936761328e-07,4.23551962364442e-07,4.45662924619672e-07,3.44181928790821e-07,1.37059843918763e-07,0,1,1.20529482875351e-08,114
"sum",0,3,5,"congeneric","poor",FALSE,"correct (no CU)",1.00000002899918,0.202500053900608,0.179999939959434,0.399999807541547,1.49999998102777,0.125000010599716,1,0.2025,0.18,0.4,1.5,0.125,2.89991790580757e-08,2.66175841724378e-07,-3.33558699796812e-07,-4.81146132380594e-07,8.47977243978448e-08,0,1,1.35836173421974e-08,1
"EC_latent",0.15,3,5,"congeneric","poor",FALSE,"MISSPEC (CU omitted)",1.69407336322545,0.549537055788495,-0.167036843083273,-0.173120172111458,1.49999963683315,0.125000359277785,1,0.2025,0.18,0.4,1.5,0.125,0.694073363225453,1.71376323846171,-1.92798246157374,-1.43280043027865,2.87422228084644e-06,0.0400696492313637,0.866256911160605,0.029695103927164,114
"sum",0.15,3,5,"congeneric","poor",FALSE,"MISSPEC (CU omitted)",1.72877774236168,0.566888834893078,-0.184388918076835,-0.18625857804139,1.49999996238617,0.125000010771757,1,0.2025,0.18,0.4,1.5,0.125,0.728777742361684,1.79945103650903,-2.02438287820464,-1.46564644510347,8.61740578894654e-08,0,1,2.33967670271599e-08,1
"EC_latent",0,5,5,"congeneric","poor",FALSE,"correct (no CU)",1.00000002439819,0.202499996300923,0.180000001660965,0.400000002464804,1.49999999417135,0.125000001509207,1,0.2025,0.18,0.4,1.5,0.125,2.43981910230673e-08,-1.82670457635375e-08,9.22758197013312e-09,6.1620095137549e-09,1.20736554087841e-08,0,1,1.56460969962067e-09,327
"sum",0,5,5,"congeneric","poor",FALSE,"correct (no CU)",0.999999932941165,0.202499983186087,0.180000008065166,0.400000047940697,1.49999997035393,0.125000003217811,1,0.2025,0.18,0.4,1.5,0.125,-6.70588347073675e-08,-8.30316712505005e-08,4.48064795143131e-08,1.19851741586796e-07,2.57424892513569e-08,0,1,1.61818643061027e-08,10
"EC_latent",0.15,5,5,"congeneric","poor",TRUE,"correct (CU modeled)",0.999999998585422,0.202499999685228,0.180000000327341,0.400000001321226,1.49999999996204,0.12500000016872,1,0.2025,0.18,0.4,1.5,0.125,-1.41457834335057e-09,-1.55443011000623e-09,1.81855965471674e-09,3.30306393347968e-09,1.34976052557079e-09,0,1,3.96247948673983e-10,307
"sum",0.15,5,5,"congeneric","poor",TRUE,"correct (CU modeled)",0.999999977863813,0.202500007793678,0.17999999893663,0.399999994366732,1.50000000683048,0.124999997127823,1,0.2025,0.18,0.4,1.5,0.125,-2.21361865504477e-08,3.84872986704237e-08,-5.90761375004097e-09,-1.40831692141408e-08,-2.29774194115961e-08,0,1,4.61564565068858e-09,6
