"model","TT","J","target_loading","sd.lambda","rho","k1_true","k1_est","k1_diff","k2_true","k2_est","k2_diff","phi11_true","phi11_est","phi11_diff","phi22_true","phi22_est","phi22_diff","phi12_true","phi12_est","phi12_diff","cor12_true","cor12_est","cor12_diff","err_perc","flag"
"EC_latent",3,5,0.4,0.05,0,10,10.0069323791256,0.00693237912564548,0.625,0.618648386792302,-0.00635161320769806,25,24.8696247694931,-0.130375230506857,5.0625,5.0040691120268,-0.0584308879731967,4.5,4.49625662443688,-0.00374337556311843,0.4,0.40304619428225,0.00304619428225023,0,TRUE
"sum",3,5,0.4,0.05,0,10,10.0070969696693,0.00709696966927176,0.625,0.618484034149494,-0.00651596585050618,25,24.8856579610893,-0.114342038910706,5.0625,5.00690763528282,-0.0555923647171799,4.5,4.48862131120911,-0.0113786887908915,0.4,0.402118092092115,0.002118092092115,0,TRUE
"EC_latent",5,5,0.4,0.05,0,10,10.0057248671778,0.00572486717784138,0.625,0.619888557099366,-0.00511144290063359,25,24.9605540534264,-0.0394459465735686,5.0625,5.0674010692788,0.0049010692787963,4.5,4.46679793675566,-0.0332020632443371,0.4,0.397170109742497,-0.00282989025750341,0,FALSE
"sum",5,5,0.4,0.05,0,10,10.0056264652384,0.00562646523844634,0.625,0.619936137725556,-0.00506386227444444,25,24.9585968867522,-0.0414031132478101,5.0625,5.06588800944148,0.00338800944147799,4.5,4.46862411870914,-0.031375881290856,0.4,0.397407399835941,-0.00259260016405932,0,FALSE
"EC_latent",3,8,0.4,0.05,0,16,16.0033120610313,0.00331206103129844,1,0.993863220227241,-0.00613677977275828,64,63.8932996561656,-0.106700343834419,12.96,12.9095573283508,-0.0504426716491864,11.52,11.3841760140024,-0.135823985997607,0.4,0.396385964327961,-0.00361403567203905,0,TRUE
"sum",3,8,0.4,0.05,0,16,16.0031815522083,0.00318155220825034,1,0.993993134587671,-0.00600686541232831,64,63.9217523723436,-0.0782476276563528,12.96,12.918642602583,-0.0413573974170163,11.52,11.3696401376556,-0.150359862344384,0.4,0.395652524407005,-0.00434747559299498,0,TRUE
"EC_latent",5,8,0.4,0.05,0,16,0.976669342741592,-15.0233306572584,1,0.123345207189594,-0.876654792810406,64,0.989444996037887,-63.0105550039621,12.96,0.20092370821173,-12.7590762917883,11.52,0.177348015667116,-11.3426519843329,0.4,0.397754327049207,-0.00224567295079264,0,TRUE
"sum",5,8,0.4,0.05,0,16,16.008480271831,0.00848027183100974,1,0.991225036342881,-0.00877496365711916,64,63.904646560786,-0.0953534392139872,12.96,12.9761605339798,0.016160533979809,11.52,11.4540518333538,-0.0659481666461801,0.4,0.397758821869721,-0.00224117813027913,0,FALSE
"EC_latent",3,5,0.6708,0,0.15,10,10.0054289681985,0.00542896819851357,0.625,0.615516958202132,-0.00948304179786841,25,24.9454377506202,-0.0545622493797602,5.0625,5.10524059329847,0.0427405932984684,4.5,4.48593642254981,-0.0140635774501927,0.4,0.397511266838776,-0.00248873316122372,0,TRUE
"sum",3,5,0.6708,0,0.15,10,NA,NA,0.625,NA,NA,25,NA,NA,5.0625,NA,NA,4.5,NA,NA,0.4,NA,NA,1,NA
"EC_latent",5,5,0.6708,0,0.15,10,9.99875656849739,-0.00124343150260842,0.625,0.62171862096995,-0.00328137903005021,25,25.0030435988527,0.00304359885265271,5.0625,5.06888843311995,0.00638843311995263,4.5,4.47650914434087,-0.0234908556591291,0.4,0.397636892043194,-0.00236310795680567,0,FALSE
"sum",5,5,0.6708,0,0.15,10,9.99875555204462,-0.00124444795537748,0.625,0.621718444415123,-0.00328155558487697,25,25.0526738681965,0.0526738681964964,5.0625,5.0800935088125,0.0175935088124977,4.5,4.4582007856658,-0.0417992143342039,0.4,0.395181612004492,-0.0048183879955076,0,FALSE
"EC_latent",3,8,0.6708,0,0.15,16,16.0077240024467,0.00772400244674998,1,0.986372376986445,-0.0136276230135551,64,63.7362528744961,-0.263747125503905,12.96,13.027972189234,0.0679721892339504,11.52,11.546649502522,0.0266495025219999,0.4,0.400704581510939,0.00070458151093894,0,TRUE
"sum",3,8,0.6708,0,0.15,16,NA,NA,1,NA,NA,64,NA,NA,12.96,NA,NA,11.52,NA,NA,0.4,NA,NA,1,NA
"EC_latent",5,8,0.6708,0,0.15,16,15.9985657967704,-0.00143420322963372,1,0.993997830877483,-0.00600216912251716,64,63.9444473094197,-0.0555526905803276,12.96,12.9833417897048,0.0233417897047854,11.52,11.4684130801198,-0.0515869198801635,0.4,0.398023453242599,-0.00197654675740133,0,FALSE
"sum",5,8,0.6708,0,0.15,16,15.9985653243856,-0.00143467561435706,1,0.99399748011186,-0.00600251988813949,64,64.0332379195358,0.033237919535793,12.96,13.0081850957764,0.0481850957764003,11.52,11.4297947104583,-0.0902052895416645,0.4,0.396029324181089,-0.00397067581891081,0,FALSE
"EC_latent",3,5,0.4,0,0.15,10,10.0096796966141,0.00967969661405377,0.625,0.611388601716212,-0.0136113982837882,25,24.9509719539743,-0.0490280460257466,5.0625,5.16042908783492,0.0979290878349239,4.5,4.4645730705968,-0.0354269294031955,0.4,0.393453392269237,-0.00654660773076343,0,TRUE
"sum",3,5,0.4,0,0.15,10,NA,NA,0.625,NA,NA,25,NA,NA,5.0625,NA,NA,4.5,NA,NA,0.4,NA,NA,1,NA
"EC_latent",5,5,0.4,0,0.15,10,10.0003542694047,0.000354269404722274,0.625,0.621526427891766,-0.0034735721082344,25,24.7953106232309,-0.204689376769064,5.0625,5.05819656496871,-0.00430343503128849,4.5,4.52236626621635,0.0223662662163511,0.4,0.403815611850585,0.0038156118505851,0,FALSE
"sum",5,5,0.4,0,0.15,10,10.0003515545517,0.000351554551691891,0.625,0.621528184567586,-0.00347181543241437,25,24.7874737404045,-0.212526259595506,5.0625,5.0605561411898,-0.00194385881020054,4.5,4.52281689124221,0.0228168912422078,0.4,0.403825508181767,0.00382550818176741,0,FALSE
"EC_latent",3,8,0.4,0,0.15,16,16.0137987114841,0.0137987114841351,1,0.981288349010416,-0.0187116509895838,64,63.4658522234333,-0.534147776566705,12.96,13.0116703618851,0.0516703618850638,11.52,11.6717991216652,0.151799121665247,0.4,0.40616380622245,0.00616380622244972,0,TRUE
